Sno,QUARTER,seg_lvl5,L3_PROD_DESC,Sum(chrg_amt),
5360,Q1-2016,CMB,Local Voice,480.18,
5361,Q3-2016,CMB,Local Voice,428.48,
5362,Q3-2016,Other,Local Voice,4657.5,
5363,Q2-2016,Total Enterprise,Local Voice,0,
5364,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",32175.69,
5365,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",23096.77,
5366,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",6832.08,
5367,Q2-2016,CMB,"CPE Security, Cloud and IT Services",0,
5368,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",137272.8,
5369,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",2623.54,
5370,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",3210,
5371,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",4500,
5372,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",5777.91,
5373,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",792,
5374,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",516,
5375,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",17777.34,
5376,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",2645.14,
5377,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",792,
5378,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",258857,
5379,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",1132162.93,
5380,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",6835.41,
5381,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",148320.16,
5382,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",3331.55,
5383,Q4-2016,CMB,"CPE Security, Cloud and IT Services",0,
5384,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",4801.92,
5385,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",152988,
5386,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",2157.93,
5387,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",3210,
5388,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",792,
5389,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",324630.22,
5390,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",6374.02,
5391,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",30803.32,
5392,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",8049.3,
5393,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",128.03,
5394,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",6464.91,
5395,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",2499868.65,
5396,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",6652.91,
5397,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",516,
5398,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",792,
5399,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",96527.07,
5400,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",58945.28,
5401,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",214071.02,
5402,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",6362.91,
5403,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",764427.08,
5404,Q1-2016,Total Wholesale,"CPE Security, Cloud and IT Services",30652.92,
5405,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",225,
5406,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",230059.84,
5407,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",152988,
5408,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",240145.43,
5409,Q2-2016,Total Wholesale,"CPE Security, Cloud and IT Services",152988,
5410,Q2-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",60223.14,
5411,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",62775.6,
5412,Q1-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",8103.12,
5413,Q3-2016,CMB,"CPE Security, Cloud and IT Services",0,
5414,Q4-2016,Total Enterprise,"CPE Security, Cloud and IT Services",51340.52,
5415,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",6463.62,
5416,Q1-2016,Total Enterprise,"CPE Security, Cloud and IT Services",524273.95,
5417,Q4-2016,Total Wholesale,"CPE Security, Cloud and IT Services",516,
5418,Q3-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",104069.47,
5419,Q2-2016,Total Enterprise,"CPE Security, Cloud and IT Services",11356928.82,
5420,Q3-2016,Total Enterprise,"CPE Security, Cloud and IT Services",147670.36,
5421,Q3-2016,Total Wholesale,"CPE Security, Cloud and IT Services",516,
5422,Q4-2016,Total Verizon Business Markets,"CPE Security, Cloud and IT Services",53113.98,
5423,Q4-2016,CMB,FiOS - Internet,0,
5424,Q3-2016,Total Verizon Business Markets,FiOS - Internet,0,
5425,Q3-2016,CMB,FiOS - Internet,0,
5426,Q1-2016,CMB,FiOS - Internet,0,
5427,Q2-2016,CMB,FiOS - Internet,0,
5428,Q2-2016,Total Verizon Business Markets,FiOS - Internet,0,
5429,Q1-2016,Total Verizon Business Markets,FiOS - Internet,0,
5430,Q3-2016,Total Wholesale,CPE Core Sales & Installations,396,
5431,Q3-2016,CMB,CPE Core Sales & Installations,0,
5432,Q3-2016,Total Enterprise,CPE Core Sales & Installations,6365527.59,
5433,Q1-2016,Total Enterprise,CPE Core Sales & Installations,3717176.34,
5434,Q3-2016,Total Enterprise,CPE Core Sales & Installations,6870494.2,
5435,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,410.1,
5436,Q3-2016,Other,CPE Core Sales & Installations,57560,
5437,Q3-2016,CMB,CPE Core Sales & Installations,-993.17,
5438,Q4-2016,Other,CPE Core Sales & Installations,506671.82,
5439,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,-360299.68,
5440,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,4551.86,
5441,Q1-2016,Other,CPE Core Sales & Installations,1938,
5442,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,349086.06,
5443,Q2-2016,Total Enterprise,CPE Core Sales & Installations,4076332.16,
5444,Q4-2016,Total Enterprise,CPE Core Sales & Installations,245766.64,
5445,Q2-2016,Total Wholesale,CPE Core Sales & Installations,174120.36,
5446,Q3-2016,Other,CPE Core Sales & Installations,3850,
5447,Q4-2016,Total Enterprise,CPE Core Sales & Installations,11547039.03,
5448,Q3-2016,Total Enterprise,CPE Core Sales & Installations,38978510.02,
5449,Q3-2016,Other,CPE Core Sales & Installations,5250,
5450,Q1-2016,Total Wireline,CPE Core Sales & Installations,15493.73,
5451,Q2-2016,Total Enterprise,CPE Core Sales & Installations,1211276.62,
5452,Q4-2016,Total Enterprise,CPE Core Sales & Installations,10101118.38,
5453,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,4663870.81,
5454,Q3-2016,Other,CPE Core Sales & Installations,11128.9,
5455,Q4-2016,CMB,CPE Core Sales & Installations,0,
5456,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,70442.87,
5457,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,314580.38,
5458,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,68418.19,
5459,Q4-2016,Total Enterprise,CPE Core Sales & Installations,167462.43,
5460,Q2-2016,Total Wholesale,CPE Core Sales & Installations,70015.12,
5461,Q1-2016,Total Wholesale,CPE Core Sales & Installations,669575.52,
5462,Q1-2016,Total Enterprise,CPE Core Sales & Installations,609439.75,
5463,Q2-2016,Total Enterprise,CPE Core Sales & Installations,72561.58,
5464,Q1-2016,Total Enterprise,CPE Core Sales & Installations,46048757.63,
5465,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,181490.2,
5466,Q1-2016,Total Enterprise,CPE Core Sales & Installations,611233.93,
5467,Q2-2016,Total Enterprise,CPE Core Sales & Installations,40264.09,
5468,Q2-2016,Other,CPE Core Sales & Installations,22670,
5469,Q1-2016,Total Wholesale,CPE Core Sales & Installations,360,
5470,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,1098.14,
5471,Q3-2016,Total Wholesale,CPE Core Sales & Installations,174890.3,
5472,Q3-2016,Total Enterprise,CPE Core Sales & Installations,414332.09,
5473,Q1-2016,Other,CPE Core Sales & Installations,553506.4,
5474,Q4-2016,Total Wholesale,CPE Core Sales & Installations,3.42,
5475,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,1749773.87,
5476,Q1-2016,Total Wholesale,CPE Core Sales & Installations,12.9,
5477,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,63083.08,
5478,Q2-2016,Other,CPE Core Sales & Installations,2800,
5479,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,304535.4,
5480,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,2296162.51,
5481,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,4549888.27,
5482,Q2-2016,Other,CPE Core Sales & Installations,7589.7,
5483,Q4-2016,Total Enterprise,CPE Core Sales & Installations,268656.47,
5484,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,-5684.83,
5485,Q2-2016,Other,CPE Core Sales & Installations,6300,
5486,Q1-2016,Other,CPE Core Sales & Installations,10500,
5487,Q2-2016,Total Enterprise,CPE Core Sales & Installations,1967254.48,
5488,Q4-2016,Total Enterprise,CPE Core Sales & Installations,945859.95,
5489,Q1-2016,Total Enterprise,CPE Core Sales & Installations,4460955.58,
5490,Q2-2016,Total Wholesale,CPE Core Sales & Installations,4879.1,
5491,Q1-2016,Total Wholesale,CPE Core Sales & Installations,2260,
5492,Q1-2016,CMB,CPE Core Sales & Installations,-1577.5,
5493,Q3-2016,Total Wholesale,CPE Core Sales & Installations,814364.72,
5494,Q1-2016,CMB,CPE Core Sales & Installations,0,
5495,Q2-2016,Other,CPE Core Sales & Installations,-3709.28,
5496,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,168704.57,
5497,Q4-2016,Total Wholesale,CPE Core Sales & Installations,171142.12,
5498,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,273.15,
5499,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,5339518.48,
5500,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,2186107.67,
5501,Q3-2016,Total Enterprise,CPE Core Sales & Installations,134315.63,
5502,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,802141.06,
5503,Q2-2016,Total Enterprise,CPE Core Sales & Installations,36700591.14,
5504,Q2-2016,Total Enterprise,CPE Core Sales & Installations,791200.15,
5505,Q1-2016,Total Enterprise,CPE Core Sales & Installations,193681.95,
5506,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,2147903.9,
5507,Q3-2016,Total Enterprise,CPE Core Sales & Installations,498719.66,
5508,Q2-2016,Total Enterprise,CPE Core Sales & Installations,2182336.33,
5509,Q3-2016,Other,CPE Core Sales & Installations,505444.44,
5510,Q4-2016,Total Wireline,CPE Core Sales & Installations,15363.17,
5511,Q3-2016,Total Wholesale,CPE Core Sales & Installations,100387.18,
5512,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,136.7,
5513,Q2-2016,Other,CPE Core Sales & Installations,4394.02,
5514,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,3179642.6,
5515,Q2-2016,Total Enterprise,CPE Core Sales & Installations,2695718.17,
5516,Q1-2016,Total Enterprise,CPE Core Sales & Installations,102440.9,
5517,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,259236.72,
5518,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,194015.84,
5519,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,6070710.49,
5520,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,104982.12,
5521,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,273.4,
5522,Q4-2016,Other,CPE Core Sales & Installations,16450,
5523,Q2-2016,Total Enterprise,CPE Core Sales & Installations,476280.64,
5524,Q2-2016,Total Enterprise,CPE Core Sales & Installations,442090.32,
5525,Q2-2016,Other,CPE Core Sales & Installations,530414.96,
5526,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,324308.08,
5527,Q4-2016,Total Enterprise,CPE Core Sales & Installations,1000680.11,
5528,Q4-2016,Total Enterprise,CPE Core Sales & Installations,38648007.53,
5529,Q2-2016,Total Wholesale,CPE Core Sales & Installations,658635.3,
5530,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,562315.25,
5531,Q3-2016,Total Wireline,CPE Core Sales & Installations,16583.53,
5532,Q1-2016,Total Enterprise,CPE Core Sales & Installations,5304870.34,
5533,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,-55541.5,
5534,Q2-2016,Total Wireline,CPE Core Sales & Installations,15437.87,
5535,Q4-2016,Total Wholesale,CPE Core Sales & Installations,630649.41,
5536,Q2-2016,Total Wholesale,CPE Core Sales & Installations,140.4,
5537,Q3-2016,Other,CPE Core Sales & Installations,1938,
5538,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,410.1,
5539,Q2-2016,CMB,CPE Core Sales & Installations,-44.88,
5540,Q2-2016,Total Enterprise,CPE Core Sales & Installations,-343173.47,
5541,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,1132148.7,
5542,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,922677.56,
5543,Q3-2016,Total Enterprise,CPE Core Sales & Installations,656192.68,
5544,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,6913.08,
5545,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,76654.98,
5546,Q3-2016,Total Enterprise,CPE Core Sales & Installations,1029002.05,
5547,Q4-2016,Total Enterprise,CPE Core Sales & Installations,9159623.43,
5548,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,11504.49,
5549,Q1-2016,Total Enterprise,CPE Core Sales & Installations,347570.65,
5550,Q1-2016,Other,CPE Core Sales & Installations,37670.08,
5551,Q3-2016,Total Enterprise,CPE Core Sales & Installations,7745.41,
5552,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,-659502.9,
5553,Q4-2016,Other,CPE Core Sales & Installations,12885.81,
5554,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,113399.66,
5555,Q2-2016,CMB,CPE Core Sales & Installations,78.13,
5556,Q2-2016,Total Enterprise,CPE Core Sales & Installations,222436.1,
5557,Q1-2016,Other,CPE Core Sales & Installations,12825.22,
5558,Q4-2016,Total Wholesale,CPE Core Sales & Installations,23207.81,
5559,Q3-2016,Total Verizon Business Markets,CPE Core Sales & Installations,67388.32,
5560,Q2-2016,Other,CPE Core Sales & Installations,134.98,
5561,Q3-2016,Total Enterprise,CPE Core Sales & Installations,85145.83,
5562,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,-17614.35,
5563,Q1-2016,Total Wholesale,CPE Core Sales & Installations,187927.82,
5564,Q1-2016,Total Enterprise,CPE Core Sales & Installations,356412.75,
5565,Q4-2016,Other,CPE Core Sales & Installations,12800,
5566,Q4-2016,Other,CPE Core Sales & Installations,1938,
5567,Q3-2016,Total Wholesale,CPE Core Sales & Installations,8628.08,
5568,Q2-2016,Total Enterprise,CPE Core Sales & Installations,149361.3,
5569,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,1600724.72,
5570,Q4-2016,CMB,CPE Core Sales & Installations,-213.05,
5571,Q2-2016,Total Enterprise,CPE Core Sales & Installations,1515405.12,
5572,Q2-2016,Total Wholesale,CPE Core Sales & Installations,240,
5573,Q4-2016,Total Wholesale,CPE Core Sales & Installations,396,
5574,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,2561748.16,
5575,Q4-2016,Total Wholesale,CPE Core Sales & Installations,4380.19,
5576,Q2-2016,Total Enterprise,CPE Core Sales & Installations,2673919.04,
5577,Q1-2016,Total Verizon Business Markets,CPE Core Sales & Installations,102615.84,
5578,Q2-2016,Total Enterprise,CPE Core Sales & Installations,83907.35,
5579,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,410.1,
5580,Q4-2016,Total Verizon Business Markets,CPE Core Sales & Installations,3616043.87,
5581,Q2-2016,Total Verizon Business Markets,CPE Core Sales & Installations,279409.97,
5582,Q2-2016,Total Enterprise,CPE Core Sales & Installations,395396.6,
5583,Q2-2016,Total Enterprise,CPE Core Sales & Installations,272947.27,
5584,Q2-2016,Total Enterprise,CPE Core Sales & Installations,278092.59,
5585,Q4-2016,Total Enterprise,CPE Core Sales & Installations,3232.31,
5586,Q3-2016,Total Enterprise,CPE Core Sales & Installations,2586562,
5587,Q1-2016,Total Enterprise,CPE Core Sales & Installations,3953073.9,
5588,Q1-2016,Total Enterprise,Legacy IT Services,126000,
5589,Q1-2016,Other,Legacy IT Services,951900,
5590,Q4-2016,Other,Legacy IT Services,951900,
5591,Q4-2016,Total Enterprise,Legacy IT Services,1562846.77,
5592,Q3-2016,Other,Legacy IT Services,337581.43,
5593,Q2-2016,Total Enterprise,Legacy IT Services,1504593.9,
5594,Q1-2016,Total Verizon Business Markets,Legacy IT Services,1333175.89,
5595,Q1-2016,Other,Legacy IT Services,338850,
5596,Q3-2016,Total Enterprise,Legacy IT Services,126000,
5597,Q2-2016,Other,Legacy IT Services,338850,
5598,Q2-2016,Total Verizon Business Markets,Legacy IT Services,114903.73,
5599,Q4-2016,Other,Legacy IT Services,336513,
5600,Q3-2016,Other,Legacy IT Services,951900,
5601,Q1-2016,Total Enterprise,Legacy IT Services,1277467.04,
5602,Q2-2016,Other,Legacy IT Services,951900,
5603,Q4-2016,Total Enterprise,Legacy IT Services,576000,
5604,Q3-2016,Total Verizon Business Markets,Legacy IT Services,176306.19,
5605,Q2-2016,Total Enterprise,Legacy IT Services,2001000.01,
5606,Q3-2016,Total Enterprise,Legacy IT Services,1499113.58,
5607,Q4-2016,Other,Local Voice,4.3,
5608,Q4-2016,Total Verizon Business Markets,Local Voice,-1697.86,
5609,Q1-2016,Total Verizon Business Markets,Local Voice,32730.01,
5610,Q4-2016,Total Wholesale,Local Voice,18197.37,
5611,Q1-2016,Total Wireline,Local Voice,47.81,
5612,Q3-2016,Other,Local Voice,84769.44,
5613,Q4-2016,Total Enterprise,Local Voice,13584.73,
5614,Q2-2016,Other,Local Voice,30448.52,
5615,Q2-2016,Total Verizon Business Markets,Local Voice,20902.49,
5616,Q2-2016,CMB,Local Voice,331.59,
5617,Q1-2016,CMB,Local Voice,-66454.67,
5618,Q4-2016,Total Wholesale,Local Voice,182.16,
5619,Q3-2016,Total Wholesale,Local Voice,274.35,
5620,Q1-2016,Total Wholesale,Local Voice,27193.4357,
5621,Q3-2016,Total Wholesale,Local Voice,2.07,
5622,Q4-2016,CMB,Local Voice,11724.63,
5623,Q4-2016,Total Wholesale,Local Voice,32746.0939,
5624,Q1-2016,Other,Local Voice,28511.78,
5625,Q2-2016,Total Wholesale,Local Voice,30935.64,
5626,Q2-2016,Total Wholesale,Local Voice,22221.0886,
5627,Q1-2016,Total Wholesale,Local Voice,27261.78,
5628,Q4-2016,Total Wholesale,Local Voice,1879.6,
5629,Q1-2016,Total Wholesale,Local Voice,2.07,
5630,Q4-2016,Total Enterprise,Local Voice,72186.92,
5631,Q3-2016,Total Wholesale,Local Voice,24116.79,
5632,Q4-2016,CMB,Local Voice,1506254.05,
5633,Q1-2016,Total Verizon Business Markets,Local Voice,-104.44,
5634,Q3-2016,Total Enterprise,Local Voice,-39795.07,
5635,Q4-2016,Total Verizon Business Markets,Local Voice,2270.97,
5636,Q4-2016,Other,Local Voice,796.05,
5637,Q2-2016,Total Verizon Business Markets,Local Voice,10349.24,
5638,Q3-2016,Total Enterprise,Local Voice,12985.03,
5639,Q2-2016,Total Wholesale,Local Voice,46777.72,
5640,Q4-2016,CMB,Local Voice,0,
5641,Q3-2016,Other,Local Voice,38.19,
5642,Q4-2016,CMB,Local Voice,0,
5643,Q4-2016,CMB,Local Voice,0.18,
5644,Q4-2016,Other,Local Voice,0,
5645,Q1-2016,Total Wholesale,Local Voice,4980.59,
5646,Q1-2016,CMB,Local Voice,540.99,
5647,Q1-2016,Total Enterprise,Local Voice,4566.4,
5648,Q3-2016,CMB,Local Voice,12745.68,
5649,Q4-2016,Total Wireline,Local Voice,165,
5650,Q4-2016,Other,Local Voice,82674.69,
5651,Q2-2016,Total Enterprise,Local Voice,164.17,
5652,Q2-2016,Total Wireline,Local Voice,126,
5653,Q4-2016,Total Enterprise,Local Voice,-38719.12,
5654,Q4-2016,Other,Local Voice,0,
5655,Q3-2016,Total Wholesale,Local Voice,1908.99,
5656,Q3-2016,Other,Local Voice,154.26,
5657,Q2-2016,Other,Local Voice,0,
5658,Q3-2016,Total Verizon Business Markets,Local Voice,0,
5659,Q2-2016,Total Verizon Business Markets,Local Voice,0,
5660,Q2-2016,CMB,Local Voice,34800.89,
5661,Q4-2016,Total Verizon Business Markets,Local Voice,83946.09,
5662,Q1-2016,Other,Local Voice,455.1,
5663,Q2-2016,Total Verizon Business Markets,Local Voice,59408.57,
5664,Q2-2016,CMB,Local Voice,0,
5665,Q4-2016,Total Enterprise,Local Voice,1528861.5,
5666,Q4-2016,Total Verizon Business Markets,Local Voice,14405.17,
5667,Q2-2016,CMB,Local Voice,0,
5668,Q2-2016,Total Wireline,Local Voice,165,
5669,Q1-2016,Total Wholesale,Local Voice,369.93,
5670,Q2-2016,Total Enterprise,Local Voice,9374.97,
5671,Q4-2016,Total Wireline,Local Voice,50.83,
5672,Q1-2016,Total Enterprise,Local Voice,9374.97,
5673,Q2-2016,Other,Local Voice,171.75,
5674,Q3-2016,CMB,Local Voice,1283.4,
5675,Q1-2016,Total Wireline,Local Voice,0,
5676,Q2-2016,Other,Local Voice,6032.76,
5677,Q4-2016,Total Wholesale,Local Voice,134.41,
5678,Q2-2016,Total Verizon Business Markets,Local Voice,69540.67,
5679,Q4-2016,Total Wholesale,Local Voice,2.07,
5680,Q2-2016,Total Enterprise,Local Voice,73402.75,
5681,Q3-2016,Total Verizon Business Markets,Local Voice,25794.7,
5682,Q1-2016,CMB,Local Voice,17815.63,
5683,Q2-2016,Total Wholesale,Local Voice,5,
5684,Q3-2016,Other,Local Voice,0,
5685,Q3-2016,Total Verizon Business Markets,Local Voice,19.45,
5686,Q2-2016,Total Wholesale,Local Voice,646.27,
5687,Q3-2016,Total Enterprise,Local Voice,13560.25,
5688,Q2-2016,Total Wholesale,Local Voice,60,
5689,Q3-2016,CMB,Local Voice,0,
5690,Q2-2016,Total Wholesale,Local Voice,269.7,
5691,Q2-2016,Total Wholesale,Local Voice,1382.9,
5692,Q3-2016,Total Verizon Business Markets,Local Voice,358032.9,
5693,Q2-2016,CMB,Local Voice,1329.36,
5694,Q2-2016,Total Wholesale,Local Voice,580.03,
5695,Q1-2016,Total Wholesale,Local Voice,52584.97,
5696,Q2-2016,Total Verizon Business Markets,Local Voice,19.02,
5697,Q4-2016,CMB,Local Voice,0,
5698,Q3-2016,Other,Local Voice,100024.86,
5699,Q1-2016,Total Verizon Business Markets,Local Voice,10729.37,
5700,Q2-2016,Total Wholesale,Local Voice,2329.98,
5701,Q2-2016,Total Enterprise,Local Voice,71.11,
5702,Q2-2016,CMB,Local Voice,1674183.95,
5703,Q2-2016,Total Verizon Business Markets,Local Voice,2453.36,
5704,Q2-2016,Total Verizon Business Markets,Local Voice,-1817.82,
5705,Q4-2016,Total Wholesale,Local Voice,60,
5706,Q3-2016,Other,Local Voice,30,
5707,Q1-2016,Other,Local Voice,100707.09,
5708,Q1-2016,Total Wholesale,Local Voice,686.38,
5709,Q2-2016,Total Wireline,Local Voice,53.74,
5710,Q1-2016,Total Enterprise,Local Voice,75474.59,
5711,Q4-2016,Total Verizon Business Markets,Local Voice,8674.32,
5712,Q2-2016,Total Wholesale,Local Voice,-494.53,
5713,Q1-2016,Total Wholesale,Local Voice,634.13,
5714,Q2-2016,Other,Local Voice,4223.53,
5715,Q4-2016,Other,Local Voice,116.75,
5716,Q2-2016,Total Verizon Business Markets,Local Voice,17045.92,
5717,Q4-2016,Total Enterprise,Local Voice,4282.44,
5718,Q3-2016,Total Wireline,Local Voice,165,
5719,Q4-2016,CMB,Local Voice,-55182.66,
5720,Q2-2016,Other,Local Voice,86470.44,
5721,Q2-2016,Other,Local Voice,100853.77,
5722,Q3-2016,Total Wholesale,Local Voice,269.7,
5723,Q2-2016,Other,Local Voice,0,
5724,Q4-2016,Total Enterprise,Local Voice,2510.63,
5725,Q2-2016,Total Wireline,Local Voice,0,
5726,Q2-2016,Other,Local Voice,0,
5727,Q1-2016,CMB,Local Voice,0,
5728,Q3-2016,Total Verizon Business Markets,Local Voice,19922.17,
5729,Q1-2016,CMB,Local Voice,0,
5730,Q4-2016,Total Wholesale,Local Voice,1574.81,
5731,Q1-2016,CMB,Local Voice,66768.81,
5732,Q3-2016,CMB,Local Voice,206.48,
5733,Q3-2016,CMB,Local Voice,-0.39,
5734,Q2-2016,Total Wholesale,Local Voice,2985.27,
5735,Q2-2016,Total Enterprise,Local Voice,21.39,
5736,Q2-2016,Total Enterprise,Local Voice,2392298.795,
5737,Q2-2016,Total Enterprise,Local Voice,3365.3,
5738,Q3-2016,Other,Local Voice,0,
5739,Q4-2016,Other,Local Voice,98125.53,
5740,Q2-2016,Other,Local Voice,796.05,
5741,Q2-2016,Total Wholesale,Local Voice,-1.41,
5742,Q4-2016,Total Verizon Business Markets,Local Voice,0,
5743,Q4-2016,Other,Local Voice,18.1,
5744,Q3-2016,Total Wholesale,Local Voice,-1948.27,
5745,Q3-2016,Other,Local Voice,0,
5746,Q1-2016,Total Verizon Business Markets,Local Voice,59599.71,
5747,Q4-2016,Other,Local Voice,28642.08,
5748,Q1-2016,Other,Local Voice,30,
5749,Q3-2016,Total Enterprise,Local Voice,4412.96,
5750,Q3-2016,Total Verizon Business Markets,Local Voice,-88.88,
5751,Q3-2016,Other,Local Voice,796.05,
5752,Q3-2016,Total Wholesale,Local Voice,182.16,
5753,Q3-2016,Total Wholesale,Local Voice,643.81,
5754,Q1-2016,CMB,Local Voice,10,
5755,Q3-2016,Total Wholesale,Local Voice,240,
5756,Q1-2016,Total Wholesale,Local Voice,2987.67,
5757,Q2-2016,CMB,Local Voice,1.32,
5758,Q1-2016,CMB,Local Voice,0,
5759,Q2-2016,Other,Local Voice,28510.08,
5760,Q4-2016,Total Wholesale,Local Voice,269.7,
5761,Q3-2016,Total Enterprise,Local Voice,14.43,
5762,Q4-2016,Other,Local Voice,0,
5763,Q2-2016,CMB,Local Voice,506660.94,
5764,Q4-2016,Total Wholesale,Local Voice,36116.18,
5765,Q4-2016,Other,Local Voice,0,
5766,Q3-2016,Total Verizon Business Markets,Local Voice,58877.76,
5767,Q4-2016,Total Verizon Business Markets,Local Voice,23054.73,
5768,Q3-2016,CMB,Local Voice,600095.82,
5769,Q3-2016,CMB,Local Voice,5,
5770,Q1-2016,Total Verizon Business Markets,Local Voice,27782.79,
5771,Q4-2016,CMB,Local Voice,185.29,
5772,Q4-2016,Total Enterprise,Local Voice,168.95,
5773,Q2-2016,Total Verizon Business Markets,Local Voice,206.33,
5774,Q4-2016,Total Enterprise,Local Voice,78.89,
5775,Q3-2016,Total Wireline,Local Voice,47.33,
5776,Q4-2016,Total Verizon Business Markets,Local Voice,106,
